,Band Aid,nipple,face powder,jean
0,8.599,8.448,0.494,-1.825
1,5.817,5.047,1.118,-1.639
2,4.827,6.349,7.755,6.87
3,5.928,8.754,2.602,7.17
4,9.038,4.024,5.66,4.214
5,9.525,7.887,7.099,3.279
6,5.466,4.364,7.23,0.975
7,11.114,5.738,6.25,0.499
8,5.218,5.681,2.973,1.853
9,8.165,3.453,5.695,-3.039
